date,inundation_km2,population_exposed_est,crop_exposed_km2,rangeland_exposed_km2,cattle_exposure_index,flooded_cells,health_facilities_exposed
2017-10-13,250.6890376980012,15.428020134568214,21.771195857977396,132.59241874314,11379911.532179326,4723,0
2017-10-14,138.68195189238725,18.56003011763096,27.371957467001202,38.10162232148852,12059514.299076146,2620,0
2017-10-15,164.63636925786156,18.56003011763096,40.47891444721121,53.48625288285779,15097050.989908755,3111,0
2017-10-16,104.62347299677346,14.557212088257074,18.184551386023855,27.948243697194037,9642129.61987236,1974,0
2017-10-17,149.54607304107003,0.0,30.058525746716988,39.53045701173877,12763817.58944329,2813,0
2017-10-18,225.64945363713775,36.47930807247758,8.413732772867014,80.54061875907155,11078763.358450519,4249,0
2017-10-19,76.23718488875215,0.0,18.950964745642885,18.899174226266418,3437169.3881502654,1432,0
2017-10-20,159.3079759703513,28.273986000567675,8.161480301446023,43.30020869523528,8107335.046312407,3008,0
2017-10-21,67.50723716483444,0.0,24.783266742357185,17.95038312321289,4280332.571812726,1274,0
2017-10-22,229.6807562415901,2.295072987675667,37.67283904078786,77.23706862411889,15709793.777469702,4331,0
2017-10-23,147.6503243148204,4.33583801984787,31.32939937950116,29.81894447688338,11668190.86271086,2786,0
2017-10-24,236.74970110524416,2.3566249161958694,45.42735015690685,53.63512516460206,16944941.562200278,4457,0
2017-10-25,134.97306245500798,16.429068196564913,14.798310057438115,34.37440437633103,8827769.39344639,2543,0
2017-10-26,188.21732484213453,0.0,40.97041063841866,35.303559385150855,14553139.618761985,3544,0
2017-10-27,210.01928176574842,13.293010223656893,24.070370207782126,52.545537761518204,13845424.557054266,3960,0
2017-10-28,192.70517055651973,0.0,44.10649247546857,40.61157944704298,14040516.84624702,3630,0
2017-10-29,212.97220180167957,0.0,39.05802510911187,40.98371866934351,13551955.921046885,4007,0
2017-10-30,117.31704239249615,0.0,29.26767147510335,18.095173406907286,8716624.983653374,2211,0
2017-10-31,124.40118332763873,0.0,18.88221456839867,17.146395123519138,7707586.40190871,2340,0
2017-11-01,76.83566198848607,2.8195199221372604,5.862669812590345,13.031794038365732,4205421.469463133,1444,0
2017-11-02,181.73560599142414,0.0,19.24753237342668,27.811042969221617,12071860.315367633,3415,0
2017-11-03,211.91542558597234,48.55515559017658,20.410130918242114,42.43448485225607,14931164.328984415,3987,0
2017-11-04,200.17060622285936,31.08378553390503,39.567900883563404,39.573354531775735,14720775.1880654,3766,0
2017-11-05,184.44774416644262,23.755264073610306,28.8186159367133,63.5138312301672,12009403.470879024,3479,0
2017-11-06,115.5832837374781,13.556933149695396,28.480841264657297,38.84169583082112,10230604.847127495,2183,0
2017-11-07,240.1911093522892,54.601849764585495,32.96201965920735,90.68190825705932,16022743.992837006,4534,0
2017-11-08,202.72352556861904,21.38200816512108,25.989008549591215,51.88361614750838,13954473.55677642,3825,0
2017-11-09,260.3054637654914,6.696895092725754,40.07897166627514,73.35632801163419,18343738.464162745,4905,0
2017-11-10,223.25718196449264,34.6377019174397,19.785185749467985,56.000806513039414,14205663.8764123,4209,0
2017-11-11,272.7603096802221,0.3575960099697113,43.13270264342447,60.231527147661666,18528119.51443511,5132,0
2017-11-12,465.09199221622094,71.90735572949052,24.420649359585077,88.33191116854299,24388168.578711305,8783,0
2017-11-13,243.4422728255371,2.1180100440979004,39.74731467302443,53.82709078193023,15550982.056814723,4581,0
2017-11-14,460.83657011327006,13.573459789156914,37.373111781235195,86.87833194486173,25029061.21926808,8687,1
2017-11-15,323.95196621726876,0.0,41.49565103972012,65.76159738055838,19180100.72839093,6093,0
2017-11-16,422.8797949865252,6.021194934844971,44.3597833140154,81.31861963494933,24928480.850153565,7951,0
2017-11-17,236.0561529632063,4.204587936401367,23.896219779073444,34.51105442937153,13086528.65862521,4438,0
2017-11-18,287.2436948651469,71.11337661743164,35.83131804095604,53.850662188227766,17440267.681536965,5403,0
2017-11-19,255.23115224653597,28.195375189185143,18.60724254717142,42.380301698462404,13434396.290418008,4798,0
2017-11-20,375.03214643931125,51.47386419773102,40.771832338999886,71.85298936779574,21909086.0012945,7050,0
2017-11-21,716.4504340813905,127.14946775138378,35.088526972715336,107.14544315763948,35953933.26912416,13486,1
2017-11-22,432.5753951999292,41.59586715698242,36.076475680739826,70.24694576408164,23196787.398772087,8125,0
2017-11-23,584.0535844537944,114.09093229472637,34.447993120041424,93.49413824300949,29116970.354370005,10989,1
2017-11-24,312.2208165322025,4.418103933334351,20.88947002465499,46.09928982875501,13417335.206903206,5868,0
2017-11-25,374.0802406462112,5.5762359499931335,25.820020901248945,60.21451161675195,20321171.045798842,7030,0
2017-11-26,275.2531564080002,11.123602032661438,11.690326243139204,39.103178387210015,9622821.52058624,5170,0
2017-11-27,425.5062676760307,47.01261925697327,31.915652839020037,73.51482270364315,24344183.46535895,7994,0
2017-11-28,593.5198089428742,65.8829043507576,23.674821255560136,72.73049353199129,28727367.207773782,11174,0
2017-11-29,425.9198419369255,0.0,31.447050049542273,76.22560627160455,22029010.165806048,7998,0
2017-11-30,635.5028191248401,24.48146604001522,24.886554396713642,90.85627631809686,29941049.870790932,11974,0
2017-12-01,292.28694640539874,0.0,23.4266574439912,49.53818039509244,15310728.506871913,5496,0
2017-12-02,480.8749885308119,112.23387628793716,30.418401337767285,98.64124978735126,25713042.98608971,9051,0
2017-12-03,364.66779215881934,82.79831114411354,18.036302178881883,72.95839292339933,18724100.844729226,6862,0
2017-12-04,455.2377529014815,73.23342227935791,30.269165416459547,104.9064129374157,26831772.384148262,8559,0
2017-12-05,580.9592078290198,146.00199456512928,15.248245895643585,90.16232105382583,28059020.353529397,10944,1
2017-12-06,414.2899852840721,2.2989010214805603,29.88998122815848,85.42112070170347,24470904.622071456,7786,0
2017-12-07,687.1557648096755,59.95604249835014,23.080008585265315,102.1550365230277,33436216.477687046,12945,1
2017-12-08,308.8223308623529,0.0,24.330929641194277,55.582396677344946,17717510.477655012,5806,0
2017-12-09,405.5249352957031,54.38905483484268,24.811892688518377,85.26778295576429,22399404.540136077,7632,1
2017-12-10,167.75368858058602,0.0,14.95942948619931,27.835242312206915,9577086.49817609,3155,0
2017-12-11,277.91828452555677,6.874069094657898,22.40917413949593,67.59365921234799,16520913.718973562,5231,0
2017-12-12,196.78464758656358,0.2135159969329834,8.555364599634984,33.39084169312014,8047189.322504226,3699,0
